Frame #,RMSD,rGyr,intraHB,MolSA,SASA,PSA,Contact_Frequency
451,2.429,5.18,0,371.363,287.833,319.897,9
452,2.691,5.2,0,375.661,321.356,321.548,6
453,2.779,5.195,0,371.482,368.204,317.227,11
454,2.231,5.35,0,370.399,371.324,317.076,7
455,2.215,5.323,0,370.524,338.357,320.635,6
456,2.665,5.123,0,370.708,392.353,320.408,5
457,2.234,5.406,0,370.715,353.027,313.58,3
458,2.726,5.102,0,371.612,396.124,321.805,7
459,2.565,5.252,0,371.295,305.512,318.236,9
460,2.392,5.342,0,370.5,317.045,312.581,6
461,2.653,5.072,0,370.712,346.495,318.938,8
462,2.58,5.304,0,371.183,287.714,317.513,7
463,2.764,5.074,0,372.968,349.933,319.094,7
464,2.679,5.071,0,369.238,310.01,316.89,6
465,2.517,5.189,0,368.496,306.269,315.119,6
466,2.445,5.181,0,369.461,330.417,316.788,6
467,2.576,5.113,0,365.924,331.351,315.066,6
468,2.686,5.219,0,371.625,329.777,317.177,8
469,2.455,5.385,0,371.664,346.142,316.622,6
470,2.393,5.228,0,371.38,306.575,320.097,5
471,2.54,5.279,0,370.343,322.085,312.312,4
472,2.42,5.264,0,370.248,347.371,315.181,6
473,2.585,5.267,0,371.117,334.77,316.68,4
474,2.515,5.304,0,370.776,328.175,315.488,6
475,2.608,4.94,0,367.318,324.412,318.957,9
476,2.471,5.242,0,373.608,350.246,312.491,4
477,2.543,5.213,0,370.357,328.611,314.778,10
478,2.535,5.382,0,372.44,318.838,316.03,5
479,2.853,5.126,0,372.549,361.813,318.068,4
480,2.511,5.365,0,374.661,360.214,316.998,6
481,2.366,5.333,0,372.255,339.956,317.046,5
482,2.6,5.133,0,371.535,312.709,316.72,5
483,2.468,5.252,0,372.47,283.687,322.123,9
484,2.758,5.119,0,374.796,334.797,319.241,9
485,2.253,5.266,0,369.175,347.768,318.791,4
486,2.798,5.16,0,373.693,357.732,319.336,3
487,2.418,5.256,0,369.8,364.336,316.161,3
488,2.594,5.245,0,374.157,372.138,322.436,3
489,2.588,5.283,0,370.735,357.734,316.569,2
490,2.505,5.21,0,371.298,356.981,319.511,6
491,2.636,5.308,0,369.725,356.034,318.031,3
492,2.809,5.189,0,371.262,360.442,317.31,5
493,2.718,5.114,0,370.627,335.398,315.072,7
494,2.705,5.249,0,371.886,353.212,318.438,6
495,1.957,5.503,0,372.804,336.141,319.572,2
496,2.732,5.373,0,374.807,362.864,315.967,2
497,2.794,5.156,0,370.815,368.576,316.885,5
498,2.711,5.238,0,370.53,359.998,316.38,4
499,2.735,5.365,0,373.482,374.521,315.445,3
500,2.683,5.309,0,373.786,349.205,322.111,5
